t_s,hhmmss,remote,refid,stratum,assoc_type,when_s,poll_s,reach_raw,reach_oct,selected,delay_ms,offset_ms,jitter_ms,raw,t_rel_s
52640.0,14:37:20,boundary1,10.0.10.4,10,u,22.0,64,17,15,True,6.8832,-2.7757,0.5072,*boundary1       10.0.10.4       10 u   22   64   17   6.8832  -2.7757   0.5072,781.0
52700.0,14:38:20,boundary1,10.0.10.4,10,u,13.0,64,37,31,True,8.5863,-3.0589,0.6951,*boundary1       10.0.10.4       10 u   13   64   37   8.5863  -3.0589   0.6951,841.0
52760.0,14:39:20,boundary1,10.0.10.4,10,u,6.0,64,77,63,True,7.6909,-3.0206,0.6281,*boundary1       10.0.10.4       10 u    6   64   77   7.6909  -3.0206   0.6281,901.0
52820.0,14:40:20,boundary1,10.0.10.4,10,u,66.0,64,77,63,True,7.6909,-3.0206,0.6281,*boundary1       10.0.10.4       10 u   66   64   77   7.6909  -3.0206   0.6281,961.0
52880.0,14:41:20,boundary1,10.0.10.4,10,u,57.0,64,177,127,True,7.6995,-2.5309,0.4342,*boundary1       10.0.10.4       10 u   57   64  177   7.6995  -2.5309   0.4342,1021.0
52940.0,14:42:20,boundary1,10.0.10.4,10,u,48.0,64,377,255,True,7.8691,-3.2148,0.6693,*boundary1       10.0.10.4       10 u   48   64  377   7.8691  -3.2148   0.6693,1081.0
53000.0,14:43:20,boundary1,10.0.10.4,10,u,41.0,64,377,255,True,6.9963,-2.9962,0.5141,*boundary1       10.0.10.4       10 u   41   64  377   6.9963  -2.9962   0.5141,1141.0
53060.0,14:44:20,boundary1,10.0.10.4,10,u,33.0,64,377,255,True,6.3158,-2.4823,0.4751,*boundary1       10.0.10.4       10 u   33   64  377   6.3158  -2.4823   0.4751,1201.0
53120.0,14:45:20,boundary1,10.0.10.4,10,u,27.0,64,377,255,True,6.3158,-2.4823,0.4741,*boundary1       10.0.10.4       10 u   27   64  377   6.3158  -2.4823   0.4741,1261.0
53181.0,14:46:21,boundary1,10.0.10.4,10,u,21.0,64,377,255,True,6.3158,-2.4823,0.5358,*boundary1       10.0.10.4       10 u   21   64  377   6.3158  -2.4823   0.5358,1322.0
53241.0,14:47:21,boundary1,10.0.10.4,10,u,14.0,64,377,255,True,6.3158,-2.4823,0.4896,*boundary1       10.0.10.4       10 u   14   64  377   6.3158  -2.4823   0.4896,1382.0
53301.0,14:48:21,boundary1,10.0.10.4,10,u,8.0,64,377,255,True,6.3158,-2.4823,0.4492,*boundary1       10.0.10.4       10 u    8   64  377   6.3158  -2.4823   0.4492,1442.0
53361.0,14:49:21,boundary1,10.0.10.4,10,u,2.0,64,377,255,True,6.3158,-2.4823,0.4538,*boundary1       10.0.10.4       10 u    2   64  377   6.3158  -2.4823   0.4538,1502.0
53421.0,14:50:21,boundary1,10.0.10.4,10,u,62.0,64,377,255,True,6.3158,-2.4823,0.4538,*boundary1       10.0.10.4       10 u   62   64  377   6.3158  -2.4823   0.4538,1562.0
53481.0,14:51:21,boundary1,10.0.10.4,10,u,55.0,64,377,255,True,6.3158,-2.4823,0.5902,*boundary1       10.0.10.4       10 u   55   64  377   6.3158  -2.4823   0.5902,1622.0
53541.0,14:52:21,boundary1,10.0.10.4,10,u,49.0,64,377,255,True,6.3158,-2.4823,0.6154,*boundary1       10.0.10.4       10 u   49   64  377   6.3158  -2.4823   0.6154,1682.0
