t,offset_ns,servo_state,freq_raw,path_delay_ns,raw,t_rel_s
15095.376,798087,2,-89544,997949,ptp4l[15095.376]: master offset     798087 s2 freq  -89544 path delay    997949,112.13900000000103
15096.377,-499291,2,-219781,1021120,ptp4l[15096.377]: master offset    -499291 s2 freq -219781 path delay   1021120,113.14000000000124
15097.377,-535655,2,-223953,1021120,ptp4l[15097.377]: master offset    -535655 s2 freq -223953 path delay   1021120,114.14000000000124
15098.378,-442939,2,-215125,1021120,ptp4l[15098.378]: master offset    -442939 s2 freq -215125 path delay   1021120,115.14100000000144
15099.379,-348422,2,-206021,997949,ptp4l[15099.379]: master offset    -348422 s2 freq -206021 path delay    997949,116.14200000000164
15100.381,-456001,2,-217235,861055,ptp4l[15100.381]: master offset    -456001 s2 freq -217235 path delay    861055,117.14400000000023
15101.379,-330792,2,-205045,669696,ptp4l[15101.379]: master offset    -330792 s2 freq -205045 path delay    669696,118.14200000000164
15102.382,200154,2,-151750,669696,ptp4l[15102.382]: master offset     200154 s2 freq -151750 path delay    669696,119.14500000000044
15103.381,-310839,2,-203160,599771,ptp4l[15103.381]: master offset    -310839 s2 freq -203160 path delay    599771,120.14400000000023
15104.384,2437865,2,74148,536065,ptp4l[15104.384]: master offset    2437865 s2 freq  +74148 path delay    536065,121.14700000000084
15105.384,-63391,2,-176041,536065,ptp4l[15105.384]: master offset     -63391 s2 freq -176041 path delay    536065,122.14700000000084
15106.385,577460,2,-111379,427832,ptp4l[15106.385]: master offset     577460 s2 freq -111379 path delay    427832,123.14800000000105
15107.386,50739,2,-164000,500182,ptp4l[15107.386]: master offset      50739 s2 freq -164000 path delay    500182,124.14900000000125
15108.387,90566,2,-159927,502398,ptp4l[15108.387]: master offset      90566 s2 freq -159927 path delay    502398,125.15000000000146
15109.388,-43075,2,-173334,502398,ptp4l[15109.388]: master offset     -43075 s2 freq -173334 path delay    502398,126.15100000000166
15110.389,219982,2,-146808,429426,ptp4l[15110.389]: master offset     219982 s2 freq -146808 path delay    429426,127.15200000000004
15111.388,61338,2,-162611,470218,ptp4l[15111.388]: master offset      61338 s2 freq -162611 path delay    470218,128.15100000000166
15112.389,77734,2,-160894,470218,ptp4l[15112.389]: master offset      77734 s2 freq -160894 path delay    470218,129.15200000000004
15113.394,4745489,2,310627,530661,ptp4l[15113.394]: master offset    4745489 s2 freq +310627 path delay    530661,130.15700000000106
15114.389,-321332,2,-196376,530661,ptp4l[15114.389]: master offset    -321332 s2 freq -196376 path delay    530661,131.15200000000004
15115.39,-27107,2,-166981,470218,ptp4l[15115.390]: master offset     -27107 s2 freq -166981 path delay    470218,132.15300000000025
15116.391,173222,2,-146775,470218,ptp4l[15116.391]: master offset     173222 s2 freq -146775 path delay    470218,133.15400000000045
15117.392,571035,2,-106423,530661,ptp4l[15117.392]: master offset     571035 s2 freq -106423 path delay    530661,134.15500000000065
15118.393,2682897,2,107447,586269,ptp4l[15118.393]: master offset    2682897 s2 freq +107447 path delay    586269,135.15600000000086
15119.391,-373811,2,-198598,805539,ptp4l[15119.391]: master offset    -373811 s2 freq -198598 path delay    805539,136.15400000000045
15120.393,13982,2,-159805,805539,ptp4l[15120.393]: master offset      13982 s2 freq -159805 path delay    805539,137.15600000000086
15121.395,1624663,2,2888,805539,ptp4l[15121.395]: master offset    1624663 s2 freq   +2888 path delay    805539,138.15800000000127
15122.394,-848025,2,-245229,1317221,ptp4l[15122.394]: master offset    -848025 s2 freq -245229 path delay   1317221,139.15700000000106
15123.398,1302595,2,-28864,1317221,ptp4l[15123.398]: master offset    1302595 s2 freq  -28864 path delay   1317221,140.16100000000006
15124.4,872295,2,-71022,1317221,ptp4l[15124.400]: master offset     872295 s2 freq  -71022 path delay   1317221,141.16300000000047
15125.4,-824116,2,-241487,1498267,ptp4l[15125.400]: master offset    -824116 s2 freq -241487 path delay   1498267,142.16300000000047
15126.4,-1151962,2,-275424,1498267,ptp4l[15126.400]: master offset   -1151962 s2 freq -275424 path delay   1498267,143.16300000000047
15127.404,1737622,2,15272,1385644,ptp4l[15127.404]: master offset    1737622 s2 freq  +15272 path delay   1385644,144.16700000000128
15128.403,867930,2,-70829,1385644,ptp4l[15128.403]: master offset     867930 s2 freq  -70829 path delay   1385644,145.16600000000108
15129.402,-1013333,2,-259969,1385644,ptp4l[15129.402]: master offset   -1013333 s2 freq -259969 path delay   1385644,146.16500000000087
15130.404,-585870,2,-217808,1385644,ptp4l[15130.404]: master offset    -585870 s2 freq -217808 path delay   1385644,147.16700000000128
15131.405,-200241,2,-179446,693316,ptp4l[15131.405]: master offset    -200241 s2 freq -179446 path delay    693316,148.16800000000148
15132.406,54608,2,-153906,693316,ptp4l[15132.406]: master offset      54608 s2 freq -153906 path delay    693316,149.1690000000017
15133.406,-235675,2,-183170,622771,ptp4l[15133.406]: master offset    -235675 s2 freq -183170 path delay    622771,150.1690000000017
15134.409,1558837,2,-2160,610736,ptp4l[15134.409]: master offset    1558837 s2 freq   -2160 path delay    610736,151.17200000000048
15135.408,-195292,2,-177768,622771,ptp4l[15135.408]: master offset    -195292 s2 freq -177768 path delay    622771,152.17100000000028
15136.411,-52144,2,-163505,622771,ptp4l[15136.411]: master offset     -52144 s2 freq -163505 path delay    622771,153.1740000000009
15137.411,1222186,2,-34850,610736,ptp4l[15137.411]: master offset    1222186 s2 freq  -34850 path delay    610736,154.1740000000009
15138.41,-251271,2,-182447,610736,ptp4l[15138.410]: master offset    -251271 s2 freq -182447 path delay    610736,155.17300000000068
15139.41,-389316,2,-196641,610736,ptp4l[15139.410]: master offset    -389316 s2 freq -196641 path delay    610736,156.17300000000068
15140.412,444768,2,-112788,610736,ptp4l[15140.412]: master offset     444768 s2 freq -112788 path delay    610736,157.1750000000011
15141.413,-192916,2,-176749,622771,ptp4l[15141.413]: master offset    -192916 s2 freq -176749 path delay    622771,158.1760000000013
15142.412,-408195,2,-198685,582263,ptp4l[15142.412]: master offset    -408195 s2 freq -198685 path delay    582263,159.1750000000011
15143.413,-250950,2,-183212,504341,ptp4l[15143.413]: master offset    -250950 s2 freq -183212 path delay    504341,160.1760000000013
15144.413,-345827,2,-193045,504341,ptp4l[15144.413]: master offset    -345827 s2 freq -193045 path delay    504341,161.1760000000013
15145.414,3054,2,-158154,455874,ptp4l[15145.414]: master offset       3054 s2 freq -158154 path delay    455874,162.1770000000015
15146.415,252135,2,-132994,449025,ptp4l[15146.415]: master offset     252135 s2 freq -132994 path delay    449025,163.1780000000017
15147.416,93792,2,-148734,497492,ptp4l[15147.416]: master offset      93792 s2 freq -148734 path delay    497492,164.1790000000001
15148.418,165653,2,-141383,497492,ptp4l[15148.418]: master offset     165653 s2 freq -141383 path delay    497492,165.1810000000005
15149.417,-314499,2,-189712,608556,ptp4l[15149.417]: master offset    -314499 s2 freq -189712 path delay    608556,166.1800000000003
15150.419,155182,2,-142589,385803,ptp4l[15150.419]: master offset     155182 s2 freq -142589 path delay    385803,167.1820000000007
15151.419,204847,2,-137418,385803,ptp4l[15151.419]: master offset     204847 s2 freq -137418 path delay    385803,168.1820000000007
15152.418,-278425,2,-186023,425691,ptp4l[15152.418]: master offset    -278425 s2 freq -186023 path delay    425691,169.1810000000005
15153.418,-216033,2,-180000,425691,ptp4l[15153.418]: master offset    -216033 s2 freq -180000 path delay    425691,170.1810000000005
15154.418,-246703,2,-183314,425691,ptp4l[15154.418]: master offset    -246703 s2 freq -183314 path delay    425691,171.1810000000005
15155.419,-269589,2,-185872,425691,ptp4l[15155.419]: master offset    -269589 s2 freq -185872 path delay    425691,172.1820000000007
15156.419,-283509,2,-187548,425691,ptp4l[15156.419]: master offset    -283509 s2 freq -187548 path delay    425691,173.1820000000007
15157.42,403046,2,-118489,356481,ptp4l[15157.420]: master offset     403046 s2 freq -118489 path delay    356481,174.1830000000009
15158.42,-211679,2,-180173,356481,ptp4l[15158.420]: master offset    -211679 s2 freq -180173 path delay    356481,175.1830000000009
15159.42,-69846,2,-166060,248661,ptp4l[15159.420]: master offset     -69846 s2 freq -166060 path delay    248661,176.1830000000009
15160.42,-75042,2,-166654,180913,ptp4l[15160.420]: master offset     -75042 s2 freq -166654 path delay    180913,177.1830000000009
15161.42,-74863,2,-166711,161179,ptp4l[15161.420]: master offset     -74863 s2 freq -166711 path delay    161179,178.1830000000009
15162.421,178027,2,-141244,161179,ptp4l[15162.421]: master offset     178027 s2 freq -141244 path delay    161179,179.1840000000011
15163.421,112708,2,-147664,161179,ptp4l[15163.421]: master offset     112708 s2 freq -147664 path delay    161179,180.1840000000011
15164.421,38724,2,-155023,161179,ptp4l[15164.421]: master offset      38724 s2 freq -155023 path delay    161179,181.1840000000011
15165.421,20789,2,-156796,185024,ptp4l[15165.421]: master offset      20789 s2 freq -156796 path delay    185024,182.1840000000011
15166.421,9608,2,-157904,215256,ptp4l[15166.421]: master offset       9608 s2 freq -157904 path delay    215256,183.1840000000011
15167.422,135034,2,-145227,215256,ptp4l[15167.422]: master offset     135034 s2 freq -145227 path delay    215256,184.1850000000013
15168.421,-99700,2,-168800,215256,ptp4l[15168.421]: master offset     -99700 s2 freq -168800 path delay    215256,185.1840000000011
15169.422,-71234,2,-166025,231418,ptp4l[15169.422]: master offset     -71234 s2 freq -166025 path delay    231418,186.1850000000013
15170.423,24305,2,-156446,231418,ptp4l[15170.423]: master offset      24305 s2 freq -156446 path delay    231418,187.1860000000015
15171.424,78636,2,-150935,231418,ptp4l[15171.424]: master offset      78636 s2 freq -150935 path delay    231418,188.18700000000172
15172.424,44949,2,-154258,244189,ptp4l[15172.424]: master offset      44949 s2 freq -154258 path delay    244189,189.18700000000172
15173.425,36411,2,-155076,244189,ptp4l[15173.425]: master offset      36411 s2 freq -155076 path delay    244189,190.1880000000001
15174.426,689847,2,-89042,255313,ptp4l[15174.426]: master offset     689847 s2 freq  -89042 path delay    255313,191.1890000000003
15175.426,26069,2,-155394,255313,ptp4l[15175.426]: master offset      26069 s2 freq -155394 path delay    255313,192.1890000000003
15176.427,1651,2,-157834,272451,ptp4l[15176.427]: master offset       1651 s2 freq -157834 path delay    272451,193.1900000000005
15177.427,560284,2,-101411,272451,ptp4l[15177.427]: master offset     560284 s2 freq -101411 path delay    272451,194.1900000000005
15178.427,-7907,2,-158238,287378,ptp4l[15178.427]: master offset      -7907 s2 freq -158238 path delay    287378,195.1900000000005
15179.428,-10303,2,-158487,304945,ptp4l[15179.428]: master offset     -10303 s2 freq -158487 path delay    304945,196.1910000000007
15180.429,-17799,2,-159255,304945,ptp4l[15180.429]: master offset     -17799 s2 freq -159255 path delay    304945,197.19200000000092
15181.429,-64153,2,-163954,339785,ptp4l[15181.429]: master offset     -64153 s2 freq -163954 path delay    339785,198.19200000000092
15182.431,1124,2,-157426,339785,ptp4l[15182.431]: master offset       1124 s2 freq -157426 path delay    339785,199.19400000000132
