t,rms_ns,max_ns,freq_raw,freq_pm_raw,path_delay_ns,path_delay_pm_ns,raw,t_rel_s
15118.07,61239,83658,-362112,5314,516326,0,ptp4l[15118.070]: rms 61239 max 83658 freq -362112 +/- 5314 delay 516326 +/-   0,128.07999999999993
15120.07,869638,1207156,-309350,72235,550750,48683,ptp4l[15120.070]: rms 869638 max 1207156 freq -309350 +/- 72235 delay 550750 +/- 48683,130.07999999999993
15122.073,949722,1155567,-264798,24129,699950,80352,ptp4l[15122.073]: rms 949722 max 1155567 freq -264798 +/- 24129 delay 699950 +/- 80352,132.08300000000054
15124.076,319358,409832,-386601,11207,815594,35292,ptp4l[15124.076]: rms 319358 max 409832 freq -386601 +/- 11207 delay 815594 +/- 35292,134.08599999999933
15126.078,471638,526404,-404358,5635,850886,0,ptp4l[15126.078]: rms 471638 max 526404 freq -404358 +/- 5635 delay 850886 +/-   0,136.08799999999974
15128.08,188239,260258,-368050,15942,641628,18292,ptp4l[15128.080]: rms 188239 max 260258 freq -368050 +/- 15942 delay 641628 +/- 18292,138.09000000000015
15130.082,516598,665384,-339750,48686,755402,95484,ptp4l[15130.082]: rms 516598 max 665384 freq -339750 +/- 48686 delay 755402 +/- 95484,140.09200000000055
15132.081,260874,346591,-333541,10945,659919,0,ptp4l[15132.081]: rms 260874 max 346591 freq -333541 +/- 10945 delay 659919 +/-   0,142.09100000000035
15134.085,112155,156985,-348046,6795,631701,0,ptp4l[15134.085]: rms 112155 max 156985 freq -348046 +/- 6795 delay 631701 +/-   0,144.09499999999935
15136.087,147358,167217,-354702,14641,595118,0,ptp4l[15136.087]: rms 147358 max 167217 freq -354702 +/- 14641 delay 595118 +/-   0,146.09699999999975
15138.092,116887,123457,-356161,11724,586306,6231,ptp4l[15138.092]: rms 116887 max 123457 freq -356161 +/- 11724 delay 586306 +/- 6231,148.10200000000077
15140.105,237119,334839,-374893,15819,528916,0,ptp4l[15140.105]: rms 237119 max 334839 freq -374893 +/- 15819 delay 528916 +/-   0,150.11499999999978
15142.105,244857,300823,-363691,23767,504526,0,ptp4l[15142.105]: rms 244857 max 300823 freq -363691 +/- 23767 delay 504526 +/-   0,152.11499999999978
15144.105,252454,352204,-372385,20563,487047,0,ptp4l[15144.105]: rms 252454 max 352204 freq -372385 +/- 20563 delay 487047 +/-   0,154.11499999999978
15146.108,213639,283538,-366860,19447,449737,0,ptp4l[15146.108]: rms 213639 max 283538 freq -366860 +/- 19447 delay 449737 +/-   0,156.1180000000004
15148.108,1121859,1582200,-271228,73182,449737,0,ptp4l[15148.108]: rms 1121859 max 1582200 freq -271228 +/- 73182 delay 449737 +/-   0,158.1180000000004
15150.11,123061,173088,-348236,9570,528264,34179,ptp4l[15150.110]: rms 123061 max 173088 freq -348236 +/- 9570 delay 528264 +/- 34179,160.1200000000008
15152.109,367857,387846,-393283,1883,530950,11668,ptp4l[15152.109]: rms 367857 max 387846 freq -393283 +/- 1883 delay 530950 +/- 11668,162.1190000000006
15154.109,270061,381912,-375861,19438,519283,0,ptp4l[15154.109]: rms 270061 max 381912 freq -375861 +/- 19438 delay 519283 +/-   0,164.1190000000006
15156.109,353361,403219,-392525,5603,519283,0,ptp4l[15156.109]: rms 353361 max 403219 freq -392525 +/- 5603 delay 519283 +/-   0,166.1190000000006
15158.11,60824,80990,-363400,2586,348259,135399,ptp4l[15158.110]: rms 60824 max 80990 freq -363400 +/- 2586 delay 348259 +/- 135399,168.1200000000008
15160.112,35456,39038,-357549,3545,173194,5468,ptp4l[15160.112]: rms 35456 max 39038 freq -357549 +/- 3545 delay 173194 +/- 5468,170.1219999999994
15162.11,570141,805833,-318198,41679,168122,2792,ptp4l[15162.110]: rms 570141 max 805833 freq -318198 +/- 41679 delay 168122 +/- 2792,172.1200000000008
15164.114,89449,92374,-348054,254,187140,5725,ptp4l[15164.114]: rms 89449 max 92374 freq -348054 +/- 254 delay 187140 +/- 5725,174.1239999999998
15166.114,436809,509702,-313331,7860,242875,0,ptp4l[15166.114]: rms 436809 max 509702 freq -313331 +/- 7860 delay 242875 +/-   0,176.1239999999998
15168.116,1643285,2323921,-238089,116725,389441,37205,ptp4l[15168.116]: rms 1643285 max 2323921 freq -238089 +/- 116725 delay 389441 +/- 37205,178.1260000000002
15170.116,224163,278954,-375524,6557,441570,10730,ptp4l[15170.116]: rms 224163 max 278954 freq -375524 +/- 6557 delay 441570 +/- 10730,180.1260000000002
15172.118,329773,421612,-322615,11013,437776,11381,ptp4l[15172.118]: rms 329773 max 421612 freq -322615 +/- 11013 delay 437776 +/- 11381,182.1280000000006
15174.121,366512,515914,-330058,28551,480198,8104,ptp4l[15174.121]: rms 366512 max 515914 freq -330058 +/- 28551 delay 480198 +/- 8104,184.1309999999994
15176.122,270105,329694,-346026,26227,557012,32712,ptp4l[15176.122]: rms 270105 max 329694 freq -346026 +/- 26227 delay 557012 +/- 32712,186.1319999999996
